XG20,XG21,XG22,XG44,XG43,XG23,XG24,XG25,XG46,XG45
1.135,0.975,1.218,0.88,0.711,0.993,0.937,2.477,0.893,1.039
0.994,0.944,1.15,1.556,1.501,0,0,0,0,0
0.93,0.743,0.976,1.721,1.339,0.951,0.734,0.841,0.81,0.999
0.874,1.391,0.748,0.925,0.721,0.777,0.893,0.587,0.661,0.794
1.013,1.168,1.191,2.113,2.245,0.831,1.506,1.255,1.107,1.126
0.89,1.266,0.954,0.899,1.017,0.784,1.083,0.77,0.91,0.955
1.006,1.012,2.95,3.073,2.903,0.611,0.627,0.613,0.524,1.265
0.706,0.973,1.076,0.98,1.146,0.793,1.036,1.141,0.981,1.386
0.811,1.622,0.887,0.841,1.037,0.852,1.29,0.942,0.952,0.842
0.794,0.844,0.756,2.067,1.788,0.913,0.981,1.361,1.046,1.207
0.542,2.037,0.6,0.866,1.315,0.846,1.397,1.096,0.527,0.764
0.805,1.031,0.952,1.395,1.089,1.272,1.283,0.831,1.15,1.009
0.915,1.162,0.554,0.517,0.545,0.742,1.188,0.754,0.792,0.604
0.707,1.09,1.135,1.066,1.061,1.063,0.88,0.925,0.878,0.842
0.581,1.265,0.627,1.277,1.539,0.849,0.905,0.851,0.867,1.099
0.746,0.925,0.968,1.072,0.907,0.753,0.826,0.92,0.794,0.904
0.979,1.397,1.29,1.114,1.014,0.953,1.02,0.795,1.016,1.126
1.472,1.149,0.898,0.593,0.722,0.869,0.706,0.876,0.514,0.469
0.78,0.777,1.055,0.952,0.957,0.557,0.982,0.738,0.758,0.78
0.433,0.591,0.453,0.625,0.644,0.655,0.536,0.972,0.815,2.909
0.719,1.65,0.929,0.72,0.91,0.761,1.284,0.714,1.424,0.809
0.902,0.798,0.833,1.136,1.018,0.914,0.923,1.051,0.976,0.862
0.989,1.018,1.163,0.711,0.853,0.767,0.936,1.89,0.922,0.931
0.556,1.472,0.757,0.834,0.9,2.082,0.556,1.095,0.825,0.784
0.907,0.802,0.962,1.122,1.023,1.097,1.11,0.924,1.055,0.919
0.897,1.119,0.972,1.195,1.812,0.776,1.103,0.815,0.761,0.797
0.754,1.042,1.07,0.908,0.903,0.691,1.15,1.191,1.302,1.35
0.306,0.473,0.355,0.653,0.596,0.253,0.366,1.259,0.986,0.914
0.592,0.811,0.853,0.847,0.889,1.067,0.806,1.272,1.386,1.041
0.947,1.279,1.289,0.693,1.053,0.859,0.908,0.881,1.798,0.812
0.622,0.846,1.012,0.845,1.063,0.734,0.752,0.858,1.764,1.315
0.783,0.991,1.223,1.473,1.604,0.749,0.908,1.248,1.113,1.307
1.561,0.854,0.599,0.626,1.082,0.713,1.003,0.849,0.419,0.891
1.036,1.003,0.893,0.813,0.856,1.112,1.367,0.742,0.92,0.865
1.573,1.047,0.788,0.801,0.497,0.856,1.967,0.965,1.066,1.107
0.858,0.933,0.9,0.801,0.793,1.137,0.98,0.804,0.786,0.755
0.76,1.158,0.972,1.455,1.07,1.007,1.094,0.947,1.027,0.664
0.95,1.013,1.01,1.136,1.064,0.918,1.312,0.882,0.722,1.161
0.563,0.638,0.993,1.054,0.883,1.315,0.953,1.224,1.213,1.256
0.546,0.66,0.642,0.937,0.902,0.679,0.931,1.344,0.903,0.729
0.738,0.759,1.164,0.688,0.595,1.061,0.816,1.45,0.781,0.857
0.498,2.036,0.6,0.968,0.517,0.717,1.006,0.35,0.938,0.538
0.789,1.131,0.639,0.669,0.665,0.59,0.769,1.184,1.316,3.012
0.637,0.811,1.026,1.385,1.245,0.844,0.832,1.074,1.167,1.025
0.827,0.893,0.916,0.945,0.928,0.927,1.132,0.844,0.873,0.986
0.511,1.026,0.642,0.542,0.556,0.638,0.48,0.974,1.125,0.901
0.871,0.94,0.826,0.862,0.698,0.918,0.979,1.148,1.056,0.924
0.84,0.859,1.207,0.923,1.042,1.162,0.916,1.026,0.948,1.082
0.862,1.02,0.876,0.946,0.913,1.246,0.93,0.962,1.035,1.081
1.437,0.837,0.849,1.176,1.138,0.764,0.998,1.072,1.213,1.401
0.715,1.119,1.323,1.404,1.872,1.239,0.871,0.82,0.894,0.891
0.48,0.559,0.766,2.266,2.024,0.539,0.646,1.203,1.392,1.432
0.875,0.714,0.766,0.832,0.877,0.557,0.612,0.945,0.673,0.88
0.492,0.66,0.736,1.396,1.035,1.81,0.765,0.794,1.481,1.067
0.738,0.892,1.091,0.907,1.752,1.005,1.208,1.103,1.044,0.989
0.789,0.705,0.75,1.393,0.952,0.745,1.378,0.898,0.841,1.251
0.672,1.266,0.777,0.979,1.215,1.055,1.305,0.143,1.729,1.248
0.508,1.357,1.026,0.66,0.92,0.785,0.907,1.154,0.962,1.065
1.01,0.941,0.763,0.872,1.061,0.831,1.357,0.725,0.521,1.013
0.51,0.474,0.738,0.922,0.78,0.588,0.63,1.001,0.913,1.431
0.634,0.62,0.689,0.664,0.681,0.461,0.649,0.986,0.701,1.153
1.014,0.839,1.164,0.958,0.996,1.233,1.102,0.743,0.912,0.753
1.034,1.029,1.071,0.868,0.975,0.93,1.288,0.844,1.013,1.05
0.54,0.452,1.001,0.776,1.101,0.704,0.624,0.852,2.536,4.146
0.496,0.447,0.641,1.227,1.208,0.677,0.654,1.136,1.285,1.885
0.69,0.873,0.804,0.826,1.006,0.888,1.216,1.371,1.131,1.031
0.727,0.676,0.939,0.478,0.651,1.086,1.165,1.426,1.102,1.028
0.433,1.227,0.651,1.162,0.559,0.616,2.022,0.508,0.469,0.5
2.615,0.836,0.882,1.034,0.881,1.259,1.054,0.969,1.374,0.855
0,0,0,0,0,0.967,1.393,0.952,0.793,1.138
0.407,0.314,0.749,0.498,0.648,0.39,0.409,1.856,2.231,1.175
0,0,0,0,0,1.161,0.558,1.077,0.583,2.889
0.656,0.852,0.921,1.519,1.58,0.849,0.691,0.97,1.233,1.083
1.419,1.764,0.558,0.657,1.197,0.038,1.276,0.039,0.068,1.14
0.785,1.076,0.941,0.581,0.674,0.731,0.689,0.731,1.131,0.749
0.752,1.34,0.792,0.806,0.674,0.785,0.77,0.698,0.887,0.741
0.664,0.516,0.576,0.695,0.568,0.742,0.842,0.769,0.933,0.834
0.755,1.804,0.799,1.115,1.169,1.004,1.367,1.07,1.072,1.271
0.794,0.952,1.238,0.662,0.957,0.588,0.807,2.773,0.815,0.817
1.297,1.175,0.799,0.436,0.696,0.396,1.587,0.747,0.651,0.995
1.951,1.792,2.197,1.948,3.641,1.374,2.436,3.541,2.33,56.645
0.624,0.419,0.524,1.162,2.106,0.639,0.8,0.735,0.675,4.221
0.883,1.1,0.894,1.414,1.056,0.921,1.254,1.082,1.001,0.657
0.833,0.733,0.592,0.828,0.847,0,0,0,0,0
0.826,0.853,1.062,1.308,1.381,0.864,0.774,0.977,1.014,0.755
1.126,1.262,0.827,1.992,2.931,1.521,0.769,2.529,3.366,0.983
0.956,0.809,0.742,1.323,1.28,0,0,0,0,0
0,0,0,0,0,0.832,1.165,0.888,1.789,1.165
0,0,0,0,0,1.036,0.829,0.96,1.707,0.509
1.11,0.642,0.896,2.612,1.147,0.619,0.821,0.976,0.764,0.843
1.291,0.94,0.749,0.941,1.473,0.866,0.86,2.755,0.439,0.573
0.78,1.625,1.11,0.707,0.835,0.726,0.631,1.12,1.666,0.824
0.894,1.313,0.909,1.799,1.163,0.632,0.886,1.875,2.318,1.608
1.159,0.999,1.965,0.678,0.945,0.866,2.134,0.958,0.905,1.575
0.855,0.881,1.257,0.906,0.813,0,0,0,0,0
0.43,1.102,1.97,0.549,0.355,1.231,0.828,0.714,0.625,0.811
0.943,1.475,1.367,1.884,1.318,0.928,0.829,0.958,1.012,1.162
0.718,0.663,1.048,2.178,1.623,0.885,1.012,0.803,1.232,1.068
0.657,0.59,0.987,1.077,0.821,0,0,0,0,0
1.031,2.338,0.973,0.36,0.513,0.972,0.884,0.961,0.969,1.037
0.817,0.98,1.075,1.392,1.217,0.989,0.968,0.993,1.177,1.026
0.251,0.779,0.726,2.961,3.782,0.628,0.879,0.997,0.81,0.823
0,0,0,0,0,0.983,1.161,1.018,0.94,1.155
0,0,0,0,0,0.58,0.621,1.532,1.519,1.112
0.774,1.2,1.107,1.44,1.125,0,0,0,0,0
0.916,1.465,1.28,1.741,1.221,1.203,1.019,1.569,0.97,0.71
0.509,0.873,0.361,0.682,1.721,0.408,2.542,1.745,0.944,0.483
0.689,0.604,0.97,0.924,0.994,0.453,0.661,1.124,2.93,1.256
0.942,0.623,1.912,5.307,3.061,1.094,0.659,2.809,0.926,1.209
1.023,1.043,1.489,0.824,0.86,0.806,0.959,0.989,1.085,0.691
1.474,0.918,0.988,1.103,1.269,0.75,1.036,0.918,0.715,1.121
0,0,0,0,0,100,0,100,0,100
0.904,1.047,1.037,1.013,0.906,0,0,0,0,0
0.808,0.788,1.095,0.634,1.038,0.862,0.975,1.077,1.084,0.829
0.405,0.545,0.427,0.299,0.321,0.319,0.646,0.605,0.347,1.716
1.147,1.401,1.053,1.12,1.14,0,0,0,0,0
1.287,0.939,1.322,1.131,1.453,0.701,1.234,0.925,0.915,1.259
1.039,1.096,1.071,2.064,1.625,0.787,1.469,1.122,1.486,1.166
0.627,0.712,1.332,0.902,0.973,0.67,0.858,0.86,0.859,0.998
0.772,1.172,1.361,0.825,0.804,1.16,0.667,0.997,0.821,0.845
0.765,0.731,1.007,0.953,0.921,0.49,0.468,0.419,0.424,0.374
0.859,0.761,0.922,1.201,1.297,0.71,0.773,0.881,1.565,1.11
0.863,1.608,1.553,0.84,1.07,0.778,0.86,1.146,1.56,0.927
1.358,0.708,1.189,3.284,1.108,0,0,0,0,0
0,0,0,0,0,0.409,0.604,0.532,0.601,13.944
0.901,1.244,1.126,1.031,1.043,1.921,2.577,3.519,1.789,1.109
0.69,0.768,1.347,1.381,1.336,0,0,0,0,0
1.128,1.253,1.118,1.178,1.009,0,0,0,0,0
0.899,1.107,1.565,1.152,1.074,0.628,0.551,1.212,1.63,0.488
1.01,1.386,3.01,1.41,1.988,0.909,0.584,1.081,0.814,0.698
0.965,1.185,0.946,0.571,0.798,0,0,0,0,0
0.909,1.138,1.478,2.372,2.355,0,0,0,0,0
0.695,1.157,0.534,0.987,0.607,0.89,0.476,0.897,1.218,0.382
1.523,1.362,1.116,1.259,1.55,0.715,1.037,1.044,0.851,1.23
0.712,0.597,0.532,0.694,0.685,0,0,0,0,0
0.989,0.95,0.926,1.281,1.845,1.166,1.224,1.021,1.065,0.899
0.914,0.641,0.513,0.898,0.874,0.88,1.036,1.229,1.07,1.474
0.785,0.74,0.996,0.803,0.778,0.857,0.754,0.917,0.566,1.04
0.885,0.922,0.981,1.676,1.047,1.516,1.203,1.301,1.255,1.357
0,0,0,0,0,0.833,1.112,1.206,1.08,1.333
1.003,0.808,0.904,1.916,1.599,0,0,0,0,0
1.028,0.955,0.797,0.688,0.99,1.087,1.017,1.115,0.565,1.111
1.146,0.985,1.494,1.242,1.413,0.746,0.898,1.11,1.393,1.19
0.441,1.661,0.651,1.025,3.034,0.563,3.04,0.909,0.434,0.848
0,0,0,0,0,0.883,1.052,0.714,0.864,1.177
0.874,0.952,1.117,1.044,1.088,0,0,0,0,0
0.755,1.081,1.076,1.303,1.355,0.824,0.815,0.672,1.155,1.225
0.627,0.55,0.547,0.691,1.064,0.718,1.098,0.71,0.909,1.144
0.985,1.016,0.988,1.021,0.967,0,0,0,0,0
0.628,1.205,1.034,0.985,1.364,0.787,0.949,1.047,1.17,1.044
0,0,0,0,0,0.915,0.85,1.129,1.238,1.053
1.073,0.849,1.068,1.044,0.853,0.901,0.987,0.855,1.036,0.998
0.971,1.453,0.767,1.011,0.604,1.186,1.097,0.759,1.241,0.902
0.62,1.191,0.766,1.05,1.281,0.964,1.421,0.319,1.979,0.631
0.971,1.002,0.889,1.343,0.936,1.166,1.179,0.963,1.072,2.357
0.784,0.694,0.682,1.519,1.386,0,0,0,0,0
1.171,0.72,0.947,1.104,1.147,0.792,1.108,0.718,0.694,0.916
0,0,0,0,0,0.542,0.452,2.284,0.445,0.42
1.151,1.219,1.082,1.072,1.117,0,0,0,0,0
0.862,0.731,1.45,0.751,0.895,0,0,0,0,0
1.213,1.15,1.248,2.463,1.678,0.534,0.564,0.925,0.68,0.878
0.929,1.019,1.071,1.178,1.14,0.847,0.685,0.888,1.001,1.443
0,0,0,0,0,1.028,1.403,0.914,0.849,0.879
0.842,0.91,1.225,0.682,0.878,0,0,0,0,0
1.013,0.687,0.805,1.259,1.143,0,0,0,0,0
1.042,0.964,0.964,1.274,1.267,0.789,0.974,0.929,1.163,0.971
0.777,0.748,1.25,0.796,0.593,0,0,0,0,0
0.733,0.968,0.979,1.306,1.309,1.128,0.88,0.861,1.064,1.149
0,0,0,0,0,1.006,0.571,1.198,1.039,2.746
0,0,0,0,0,0.855,0.799,1.268,1.047,0.763
1.034,0.708,0.977,1.025,1.103,0.916,0.848,0.761,0.982,1.166
0.96,1.006,0.971,0.87,0.694,0,0,0,0,0
1.159,1.055,1.049,1.26,1.527,1.016,1.284,1.043,1.317,0.927
1.191,0.981,1.122,1.079,1.229,0.843,0.73,1.378,1.498,1.031
0.993,0.994,1.241,1.548,1.279,0.716,1.121,1.148,1.462,0.869
0.914,1.666,1.934,0.696,0.63,0.712,0.651,0.562,0.6,0.588
0.999,1.221,0.746,1.749,0.964,0.374,0.355,1.467,1.531,1.163
0.391,0.656,0.516,2.386,1.862,0,0,0,0,0
1.115,0.779,1.027,0.88,0.762,0,0,0,0,0
1.013,0.737,0.905,0.848,0.952,0.71,1.09,0.889,0.817,1
0.573,0.43,0.796,1.473,1.783,0.863,0.809,1.114,2.247,1.206
0.845,1.299,1.166,1.291,1.295,3.693,4.296,1.946,1.603,1.108
0.504,0.745,0.485,0.534,0.452,0.458,0.688,0.987,0.927,0.872
0.979,1.112,1.252,1.282,1.341,0.99,0.861,1.339,1.311,0.763
1.323,0.974,1.491,2.249,2.216,0.847,1.041,1.2,1.317,1.253
0.585,0.714,0.918,0.876,0.674,0.778,1.196,0.937,1.141,0.842
0.642,0.86,0.878,2.068,1.316,0,0,0,0,0
0,0,0,0,0,0.832,0.838,1.119,1.062,1.461
1.114,0.878,1.21,1.649,1.165,0,0,0,0,0
0,0,0,0,0,0.655,0.844,0.524,0.553,8.134
0,0,0,0,0,1.144,1.116,1.146,1.163,0.92
0.467,0.279,0.957,0.559,0.997,0.38,0.43,0.781,3.399,2.117
1.009,0.871,0.93,1.454,1.38,0.773,1.082,0.897,0.997,1.021
0.846,1.305,1.303,1.369,1.125,0.875,0.88,1.216,1.032,0.943
0.58,0.997,1.249,2.192,1.659,0,0,0,0,0
0.858,0.93,0.804,1.051,0.929,0.845,1.009,0.735,1.039,0.966
0,0,0,0,0,1.14,1.27,0.772,0.842,5.55
1.064,1.113,1.037,1.424,1.317,0,0,0,0,0
0.996,0.764,0.957,1.313,1.064,0,0,0,0,0
1.221,1.393,1.363,0.991,1.278,1.546,1.448,0.597,1.423,0.903
2.157,0.997,2.027,3.549,4.325,2.776,3.789,2.41,2.13,38.183
0,0,0,0,0,0.887,1.213,1.232,0.828,2.875
1.107,1.599,1.265,1.457,1.224,0.837,0.694,0.829,1.028,0.987
0.565,0.682,0.674,0.85,0.712,0,0,0,0,0
0.231,0.269,0.371,0.264,0.338,0.357,0.377,0.417,1.313,0.538
0.621,0.728,0.678,0.878,1.153,0.88,0.942,1.507,1.339,9.202
0,0,0,0,0,0.818,1.304,0.659,0.834,41.045
1,3.724,1.085,1.042,1.809,0,0,0,0,0
0,0,0,0,0,0.759,0.668,0.505,0.542,0.565
0,0,0,0,0,0.883,1.104,0.722,0.791,1.097
0,0,0,0,0,0.738,1.096,0.851,1.127,0.946
0,0,0,0,0,1.175,0.971,0.893,1.12,0.979
0.822,0.815,0.777,0.507,0.541,0,0,0,0,0
0.889,0.653,0.901,0.712,0.699,1.373,0.968,1.096,0.887,1.22
0.873,0.865,1.089,1.249,1.019,0.917,0.818,0.924,1.156,1.004
1.02,1.211,1.753,1.053,1.255,0,0,0,0,0
0,0,0,0,0,0.723,1.771,0.509,1.145,0.697
0,0,0,0,0,0.79,0.52,1.74,0.843,0.507
0.553,0.751,0.879,1.717,1.513,1.623,13.617,1.222,3.59,84.201
0.835,0.773,0.937,1.976,1.647,0.611,0.547,2.166,0.996,2.007
0,0,0,0,0,2.39,2.443,1.313,1.225,38.397
1.126,0.626,0.753,1.069,1.055,1.125,0.986,0.762,0.658,0.799
0,0,0,0,0,0.642,1.179,1.374,3.748,2.339
0.736,0.714,0.644,1.995,1.201,0.802,0.954,1.008,1.046,1.582
0.916,1.127,1.736,0.684,0.642,0,0,0,0,0
0.86,0.746,0.966,0.937,1.334,0.655,0.939,0.776,2.701,0.773
1.028,0.754,0.733,1.105,0.966,0.68,1.03,0.669,0.856,0.777
0.75,0.98,1.432,1.103,1.191,0,0,0,0,0
0.732,0.784,0.817,0.779,0.637,0.781,0.667,0.672,1.036,0.85
0,0,0,0,0,1.445,0.693,1.211,1.219,1.807
0.352,0.459,0.374,0.562,0.625,1.144,1.223,0.638,0.501,0.944
0.894,1.095,1.062,2.428,2.046,0,0,0,0,0
0.42,1.319,1.663,0.796,0.658,0.734,0.623,0.494,0.968,1.018
0.816,0.79,1.042,0.894,0.767,0,0,0,0,0
1.032,0.815,0.811,0.958,0.652,0.696,1.134,0.68,0.829,0.933
1.039,0.766,0.841,1.143,0.988,0.876,1.142,1.171,0.796,1.101
0.717,0.879,0.815,0.681,0.721,0,0,0,0,0
0,0,0,0,0,0.824,1.308,1.645,1.14,1.257
0.689,0.912,0.941,1.067,0.626,0.696,0.995,1.114,0.722,1.34
0,0,0,0,0,0.919,1.109,0.917,1.233,0.999
0.635,1.166,0.895,0.826,1.053,0,0,0,0,0
0.798,0.947,1.379,0.911,1.011,0,0,0,0,0
0.638,1.587,1.214,1.503,1.357,0.823,1.08,0.944,0.816,0.971
0.839,0.812,1.413,1.942,1.538,0,0,0,0,0
0.46,0.485,0.93,1.419,1.221,0.66,0.797,1.052,1.736,5.162
0,0,0,0,0,0.692,0.738,0.771,0.992,1.034
0.848,1.324,1.139,0.956,0.995,0,0,0,0,0
0,0,0,0,0,1.15,2.177,1.848,1.354,20.412
1.024,0.886,0.978,1.067,1.073,0,0,0,0,0
1.001,0.97,1.123,1.92,1.688,1.69,2.073,1.976,1.846,27
1.719,2.146,0.777,0.875,1.123,0.363,2.674,0.732,0.732,1.892
0.405,0.997,1.15,2.206,1.545,0.489,0.604,1.342,1.301,1.284
0,0,0,0,0,0.9,1.457,0.985,13.4,26.274
0,0,0,0,0,0.963,0.758,0.926,0.803,1.103
0.976,1.002,1.115,1.174,1.174,0,0,0,0,0
0,0,0,0,0,1.206,1.688,1.252,1.307,1.209
0.996,0.783,0.72,0.941,0.756,0,0,0,0,0
0.825,0.919,1.324,1.08,1.19,0.87,0.999,1.019,1,1.154
1.789,1.242,0.699,0.897,1.216,1.387,1.777,0.613,0.84,0.85
0.8,1.931,1.226,1.092,0.86,1.589,1.188,1.229,0.931,0.912
0.623,0.62,1.533,0.777,0.777,0.673,0.604,0.72,0.62,0.914
0.899,1.663,1.652,1.518,2.207,1.265,0.807,1.073,1.094,1.763
0.798,0.682,1.004,1.059,1.262,0,0,0,0,0
0.484,0.568,0.594,1.005,1.445,0.65,0.775,0.651,0.692,0.916
0.27,0.256,0.861,0.251,0.239,0.459,0.245,0.321,1.193,0.896
0,0,0,0,0,0.927,1.235,0.831,0.642,0.939
1.085,0.828,0.734,0.72,0.677,1.473,0.819,0.694,0.639,2.36
1.232,2.012,1.224,2.058,1.898,0,0,0,0,0
0.985,1.441,1.423,1.13,1.096,0.966,0.949,1.579,1.076,0.802
0.782,0.684,0.694,0.867,0.687,0.826,1.005,0.837,0.8,0.862
1.194,1.462,0.738,1.582,1.204,0,0,0,0,0
0.763,0.876,1.922,1.174,1.11,0.881,1.034,0.505,1.036,1.261
0,0,0,0,0,0.84,0.935,0.959,0.814,1.037
0.629,1.192,1.291,0.957,1.116,0.674,1.021,0.922,1.113,0.868
0.694,0.659,0.541,0.767,0.504,0.666,0.866,1.034,0.762,0.719
0.616,0.848,0.84,0.989,1.124,0,0,0,0,0
0.901,0.601,1.349,2.156,1.844,0,0,0,0,0
0.71,0.513,0.73,1.047,0.776,0.795,0.529,1.142,0.89,1.003
0,0,0,0,0,0.882,1.122,0.975,0.636,0.783
0,0,0,0,0,0.885,0.789,0.719,1.181,0.713
0.883,0.575,0.68,0.697,0.65,0,0,0,0,0
0.863,1.084,1.009,0.99,0.783,0,0,0,0,0
0.551,0.597,0.802,0.656,0.773,0,0,0,0,0
0.739,0.862,1.597,2.144,1.884,0.701,0.913,1.532,1.509,4.021
0,0,0,0,0,3.934,5.699,1.798,0.01,100
0,0,0,0,0,1.467,4.258,1.324,1.177,2.494
0.531,0.46,0.661,0.686,0.557,0,0,0,0,0
0,0,0,0,0,0.861,1.082,1.225,0.997,0.983
0.573,0.575,1.469,2.692,1.83,0,0,0,0,0
0.793,1.251,0.951,1.005,1.024,0.618,0.639,0.725,2.31,0.848
0,0,0,0,0,0.974,0.566,1.024,1.314,1.065
0,0,0,0,0,0.592,0.606,1.124,1.747,39.833
0.83,0.769,1.872,2.183,1.918,0.792,0.645,1.837,1.094,1.55
0.834,0.864,0.964,0.666,1.048,0,0,0,0,0
0,0,0,0,0,0.714,0.928,1.193,0.997,0.679
0.867,1.025,0.962,1.23,0.978,1.076,1.257,0.86,0.817,1.138
0.653,0.926,0.723,0.973,1.143,0.837,0.733,0.899,1.018,0.647
1.222,1.093,1.503,2.635,1.677,0,0,0,0,0
0.761,1.049,0.945,1.458,1.303,0,0,0,0,0
0.665,0.618,0.939,2.185,1.382,0.694,0.948,0.846,0.732,0.709
0,0,0,0,0,2.231,0.524,1.229,0.574,0.808
0.967,0.691,1.179,0.807,0.901,0,0,0,0,0
0,0,0,0,0,0.721,1.272,0.531,0.704,0.563
0.986,1.021,1.105,1.016,0.844,0,0,0,0,0
1.08,0.566,0.875,1.421,0.748,0,0,0,0,0
0,0,0,0,0,0.931,0.644,1.286,1.314,0.782
0.55,1.221,0.348,2.375,1.956,0.718,0.74,1.094,1.993,1.15
1.149,0.826,1.038,1.337,1.009,0,0,0,0,0
0.824,1.054,1.041,1.383,0.921,0,0,0,0,0
0.927,0.921,0.726,1.005,0.711,0,0,0,0,0
1.482,1.452,0.412,0.561,0.969,0.573,0.689,1.559,0.407,2.181
0.804,1.354,0.903,0.603,2.593,0,0,0,0,0
0,0,0,0,0,0.407,0.79,0.711,0.409,0.795
0,0,0,0,0,0.784,0.88,0.766,0.894,0.841
0,0,0,0,0,0.514,0.472,0.499,0.541,0.389
0,0,0,0,0,1.108,0.955,0.876,0.97,1.03
0,0,0,0,0,0.826,0.01,3.688,0.01,57.516
0,0,0,0,0,1.117,1.691,0.996,1.27,1.227
0.423,0.551,2.42,0.705,0.311,0,0,0,0,0
0,0,0,0,0,1.56,0.8,0.931,0.978,0.988
0.506,0.633,0.64,3.605,1.954,0,0,0,0,0
0.792,1.356,0.932,0.644,0.798,0.874,2.067,1.255,0.798,1.044
0,0,0,0,0,0.862,1.033,1.008,0.987,0.793
0.525,1.553,0.631,3.001,2.939,0.793,1.418,0.359,0.782,0.986
0.962,4.595,0.835,1.314,1.409,1.028,0.687,0.834,1.055,0.708
0,0,0,0,0,0.54,1.435,0.669,0.83,0.548
1.17,0.696,1.2,0.51,0.547,1.217,0.676,0.772,1.255,0.488
0,0,0,0,0,0.674,1.452,0.948,0.932,0.895
0,0,0,0,0,0.934,0.825,0.933,0.899,0.892
0.55,2.817,0.469,0.512,1.118,0,0,0,0,0
1.22,1.332,6.075,2.686,1.819,0,0,0,0,0
0.682,0.753,0.683,0.796,0.835,0,0,0,0,0
0.721,1.373,0.812,1.669,1.37,0,0,0,0,0
0,0,0,0,0,0.664,0.91,0.904,0.711,0.731
1.069,1.102,0.671,0.75,0.819,1.091,2.365,0.906,1.041,0.959
0.451,1.079,0.636,1.122,1.568,0,0,0,0,0
1.082,1.151,0.955,1.11,0.604,0,0,0,0,0
1.435,1.298,1.128,0.925,1.082,0.724,0.998,1.075,0.972,0.759
0.897,1.054,0.815,1.558,1.087,0,0,0,0,0
0.234,0.29,0.381,1.223,1.081,0,0,0,0,0
1.194,1.379,1.806,1.675,2.158,0.965,0.844,1.173,1.001,1.014
0,0,0,0,0,0.761,1.282,0.933,0.936,1.002
0.773,1.336,1.156,1.024,1.737,0,0,0,0,0
0,0,0,0,0,0.545,0.698,1.521,0.826,0.865
1.352,3.591,0.768,0.986,3.527,0.841,4.383,0.152,0.655,4.515
0.974,1.869,1.243,1.73,1.05,0.936,1.296,0.96,1.497,1.236
0.498,1.51,0.695,1.222,0.97,0,0,0,0,0
0.94,0.899,0.697,0.923,1.022,0,0,0,0,0
0,0,0,0,0,1.101,1.239,1.012,0.877,0.989
0,0,0,0,0,1.406,1.1,0.86,0.777,1.022
0.651,0.657,0.558,0.595,0.687,0,0,0,0,0
1.192,1.441,1.647,0.52,0.749,0,0,0,0,0
0.327,0.447,1.412,1.016,0.689,1.134,0.584,9.263,0.103,0.344
0.983,1.08,0.985,1.193,0.875,1.051,1.02,1.048,0.898,0.87
1.112,0.476,0.253,0.971,1.382,0.736,1.362,0.582,1.133,0.492
0.671,0.592,0.781,1.863,1.7,0,0,0,0,0
0.942,0.944,0.924,0.826,0.991,0.928,1.451,0.723,1.001,1.129
0,0,0,0,0,1.248,1.542,0.972,1.372,15.9
0.663,1.347,1.45,0.795,1.021,0,0,0,0,0
0,0,0,0,0,2.119,2.053,1.743,1.435,1.249
0.957,0.669,0.47,3.112,1.708,0.871,1.135,0.997,0.637,1.566
0.897,1.093,1.101,1.05,0.971,0,0,0,0,0
0.735,0.959,0.703,0.882,1.114,0,0,0,0,0
0.927,0.815,0.818,1.002,0.809,0,0,0,0,0
0.487,0.411,1.195,0.358,0.337,0,0,0,0,0
0,0,0,0,0,0.962,0.865,1.235,1.61,8.326
0.664,1.034,0.863,1.056,1.271,0.799,0.825,1.234,1.402,1.274
0.882,0.454,0.79,3.628,2.767,0,0,0,0,0
0,0,0,0,0,0.401,0.991,0.476,0.812,2.744
1.885,0.8,0.39,0.616,0.809,0.911,1.075,0.855,1.004,0.929
0.93,1.258,0.384,0.796,1.846,1.91,0.789,2.113,1.198,1.701
0,0,0,0,0,0.385,0.725,0.702,0.431,0.805
0.482,0.487,0.658,0.45,0.655,0,0,0,0,0
0,0,0,0,0,1.522,0.869,0.673,0.932,1.09
0.863,0.43,0.013,6.484,0.642,3.872,0.537,0.113,1.009,0.222
0,0,0,0,0,0.504,15.537,0.389,0.01,0.403
0.665,0.348,0.289,0.562,0.408,1.484,0.858,0.974,0.651,1.773
0.589,1.237,0.865,0.739,0.725,0,0,0,0,0
3.962,0.83,0.801,0.829,0.813,0,0,0,0,0
2.088,1.215,1.137,0.852,2.304,1.461,2.702,1.894,0.998,1.297
0,0,0,0,0,0.983,0.925,1.015,1.124,0.892
2.063,0.962,0.215,1.353,1.439,0.142,1.941,0.582,0.784,0.428
1.14,0.806,0.872,1.158,0.987,1.071,0.987,1.097,1.173,0.959
0.986,0.854,0.773,0.679,0.733,0.714,0.725,0.777,0.839,0.843
1.193,0.62,0.788,0.751,0.347,0,0,0,0,0
0.827,1.176,1.141,1.03,1.239,0,0,0,0,0
0,0,0,0,0,1.843,2.754,0.577,2.044,1.078
1.015,1.775,0.902,0.72,2.311,0,0,0,0,0
0.682,0.97,0.864,0.839,1.099,0.443,1.141,0.946,1.632,0.92
0.918,0.726,0.728,0.393,0.373,1.706,0.44,0.401,0.709,0.661
0,0,0,0,0,4.625,0.727,3.066,0.72,1.468
1.099,9.012,1.086,0.492,2.278,0,0,0,0,0
